#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-26T17:58:50 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-26T17:58:50	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/633/A51/handbook&-out.all&-out.max=500	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36330051
#Name: J/A+A/633/A51
#Title: Distances to molecular clouds in SFR (Zucker+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/a+a/633/a51	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/633/a51	    IVOID of underlying data collection
#INFO	creator=Zucker C.	    First author or institution
#INFO	cites=bibcode:2020A&A...633A..51Z	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/633/A51	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36330051	    Dataset identifier that can be used for citation
#INFO	publication_date=2022-01-14	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	J_A_A_633_A51_handbook:
#Name: J/A+A/633/A51/handbook
#Title: Star Formation Handbook Cloud Distances (table A1)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a17)	Cloud/star-forming region associated with sightline	[ucd=meta.id;meta.main]
#Column	GLON	(F5.1)	Galactic longitude of center of sightline	[ucd=pos.galactic.lon]
#Column	GLAT	(F5.1)	Galactic latitude of center of sightline	[ucd=pos.galactic.lat]
#Column	n16	(F7.4)	16th percentile of the samples for the normalization factor parameter N	[ucd=stat.error]
#Column	n50	(F7.4)	50th percentile of the samples for the normalization factor parameter N	[ucd=stat.fit.param]
#Column	n84	(F7.4)	84th percentile of the samples for the normalization factor parameter N	[ucd=stat.error]
#Column	f16	(F7.4)	16th percentile of the samples for the foreground extinction parameter f	[ucd=stat.error]
#Column	f50	(F7.4)	50th percentile of the samples for the foreground extinction parameter f	[ucd=obs.atmos.extinction]
#Column	f84	(F7.4)	84th percentile of the samples for the foreground extinction parameter f	[ucd=stat.error]
#Column	m16	(F7.4)	16th percentile of the samples for the cloud distance modulus mu_c	[ucd=stat.error]
#Column	m50	(F7.4)	50th percentile of the samples for the cloud distance modulus mu_c	[ucd=phot.mag.distMod]
#Column	m84	(F7.4)	84th percentile of the samples for the cloud distance modulus mu_c	[ucd=stat.error]
#Column	d16	(I4)	16th percentile of the samples for the cloud distance D_c	[ucd=stat.error]
#Column	d50	(I4)	50th percentile of the samples for the cloud distance D_c	[ucd=pos.distance]
#Column	d84	(I4)	84th percentile of the samples for the cloud distance D_c	[ucd=stat.error]
#Column	p16	(F7.4)	16th percentile of the samples for the fraction of outlier stars Pb	[ucd=stat.error]
#Column	p50	(F7.4)	50th percentile of the samples for the fraction of outlier stars Pb	[ucd=stat]
#Column	p84	(F7.4)	84th percentile of the samples for the fraction of outlier stars Pb	[ucd=stat.error]
#Column	sfore16	(F7.4)	16th percentile of the samples for the foreground smoothing parameter sfore	[ucd=stat.error]
#Column	sfore50	(F7.4)	50th percentile of the samples for the foreground smoothing parameter sfore	[ucd=stat.fit.param]
#Column	sfore84	(F7.4)	84th percentile of the samples for the foreground smoothing parameter sfore	[ucd=stat.error]
#Column	sback16	(F7.4)	16th percentile of the samples for the background smoothing parameter sback	[ucd=stat.error]
#Column	sback50	(F7.4)	50th percentile of the samples for the background smoothing parameter sback	[ucd=stat.fit.param]
#Column	sback84	(F7.4)	84th percentile of the samples for the background smoothing parameter sback	[ucd=stat.error]
#Column	new	(I1)	[0/1]? Whether the sightline is novel to this work (1), or taken from Zucker et al. 2019ApJ...879..125Z (0) (1)	[ucd=meta.code]
#Column	SimbadName	(a35)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA.icrs	(F8.4)	Right ascension (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F8.4)	Declination (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
recno	Name	GLON	GLAT	n16	n50	n84	f16	f50	f84	m16	m50	m84	d16	d50	d84	p16	p50	p84	sfore16	sfore50	sfore84	sback16	sback50	sback84	new	SimbadName	_RA.icrs	_DE.icrs
      15	CMa_OB1          	225.4	+00.3	 0.4820	 0.4836	 0.4854	 0.1572	 0.1581	 0.1591	10.5100	10.5158	10.5178	1264	1268	1269	 0.0119	 0.0138	 0.0160	 0.0292	 0.0312	 0.0331	 0.0637	 0.0647	 0.0657	0	CMa_OB1                            	108.8873	-10.9385
      16	CMa_OB1          	225.0	-00.2	 0.4737	 0.4755	 0.4773	 0.2517	 0.2533	 0.2550	10.5089	10.5124	10.5185	1264	1266	1269	 0.0286	 0.0337	 0.0392	 0.0514	 0.0546	 0.0580	 0.0796	 0.0812	 0.0829	0	CMa_OB1                            	108.2472	-10.8165
      17	CMa_OB1          	222.9	-01.9	 0.4654	 0.4677	 0.4697	 0.2153	 0.2171	 0.2187	10.3286	10.3396	10.3798	1163	1169	1191	 0.0157	 0.0182	 0.0210	 0.0272	 0.0291	 0.0311	 0.1066	 0.1082	 0.1097	0	CMa_OB1                            	105.7313	-09.7349
      18	CMa_OB1          	224.5	-00.2	 0.4598	 0.4615	 0.4631	 0.1956	 0.1968	 0.1980	10.4842	10.5070	10.5181	1249	1262	1269	 0.0275	 0.0312	 0.0357	 0.0408	 0.0434	 0.0463	 0.0707	 0.0722	 0.0736	0	CMa_OB1                            	108.0116	-10.3734
      19	California       	162.5	-09.5	 0.7272	 0.7307	 0.7340	 0.1739	 0.1753	 0.1764	 8.1705	 8.2019	 8.2518	 430	 436	 447	 0.0127	 0.0153	 0.0180	 0.0750	 0.0840	 0.0948	 0.0335	 0.0345	 0.0358	0	NAME California Molecular Cloud    	064.7056	+36.9699
      20	California       	161.2	-09.0	 0.6928	 0.6960	 0.6994	 0.3786	 0.3813	 0.3839	 8.2021	 8.2864	 8.3695	 436	 454	 471	 0.0187	 0.0236	 0.0296	 0.0560	 0.0683	 0.0844	 0.0581	 0.0604	 0.0630	0	NAME California Molecular Cloud    	064.0034	+38.2296
      21	California       	163.8	-07.9	 0.7448	 0.7474	 0.7501	 0.2710	 0.2724	 0.2738	 8.3014	 8.3451	 8.4268	 457	 466	 484	 0.0178	 0.0213	 0.0252	 0.1118	 0.1236	 0.1376	 0.0441	 0.0457	 0.0472	0	NAME California Molecular Cloud    	067.2669	+37.1544
      22	Cam              	148.8	+17.8	 0.7826	 0.7930	 0.8029	 0.0793	 0.0810	 0.0825	 7.7553	 7.8316	 7.8929	 355	 368	 378	 0.0124	 0.0150	 0.0181	 0.0311	 0.0369	 0.0441	 0.0347	 0.0363	 0.0378	0	NAME Cam Cloud                     	086.9270	+64.4048
      23	Cam              	144.8	+17.8	 0.7001	 0.7075	 0.7153	 0.0967	 0.0992	 0.1009	 6.6667	 6.7147	 6.8281	 215	 220	 232	 0.0124	 0.0150	 0.0185	 0.0448	 0.0576	 0.0714	 0.0366	 0.0382	 0.0397	0	NAME Cam Cloud                     	082.6071	+67.7895
      24	Cam              	146.1	+17.7	 0.5476	 0.5532	 0.5590	 0.1050	 0.1076	 0.1094	 6.7884	 6.8638	 6.9382	 227	 235	 244	 0.0191	 0.0233	 0.0286	 0.0343	 0.0438	 0.0557	 0.0492	 0.0513	 0.0536	0	NAME Cam Cloud                     	083.8972	+66.6522
      25	Cam              	148.4	+17.7	 0.7399	 0.7503	 0.7598	 0.0824	 0.0843	 0.0859	 7.7560	 7.8161	 7.9170	 355	 365	 383	 0.0134	 0.0164	 0.0199	 0.0355	 0.0418	 0.0491	 0.0384	 0.0402	 0.0418	0	NAME Cam Cloud                     	086.3267	+64.7025
      26	Cam              	146.6	+17.2	 0.6398	 0.6468	 0.6539	 0.0854	 0.0880	 0.0895	 6.5607	 6.6642	 6.7762	 205	 215	 226	 0.0152	 0.0184	 0.0220	 0.0285	 0.0365	 0.0491	 0.0327	 0.0344	 0.0360	0	NAME Cam Cloud                     	083.3626	+65.9953
      27	Carina           	286.2	-00.2	 0.2599	 0.2630	 0.2660	 0.4573	 0.4702	 0.4847	12.0000	12.0395	12.0777	2511	2558	2603	 0.1614	 0.1792	 0.1973	 0.0315	 0.0343	 0.0373	 0.1548	 0.1603	 0.1665	1	NAME Carina Molecular Cloud Complex	159.2751	-58.6378
      28	Carina           	288.1	-01.1	 0.2582	 0.2610	 0.2638	 0.4449	 0.4602	 0.4759	11.9053	11.9366	12.0191	2404	2439	2534	 0.0943	 0.1099	 0.1271	 0.0297	 0.0320	 0.0342	 0.1555	 0.1599	 0.1651	1	NAME Carina Molecular Cloud Complex	161.7207	-60.3345
      29	Carina           	286.3	+00.2	 0.3728	 0.3785	 0.3836	 0.5111	 0.5247	 0.5387	11.9553	11.9913	12.0337	2460	2501	2551	 0.2026	 0.2237	 0.2445	 0.0347	 0.0373	 0.0398	 0.1612	 0.1677	 0.1761	1	NAME Carina Molecular Cloud Complex	159.8161	-58.3377
      30	Carina           	287.4	-00.6	 0.2062	 0.2101	 0.2144	 0.8004	 0.8171	 0.8334	11.9219	11.9828	12.0177	2423	2492	2532	 0.2161	 0.2383	 0.2622	 0.0644	 0.0674	 0.0707	 0.1702	 0.1776	 0.1865	1	NAME Carina Molecular Cloud Complex	160.9483	-59.5662
      31	Cepheus          	110.1	+17.4	 0.7225	 0.7288	 0.7353	 0.2392	 0.2423	 0.2454	 7.5832	 7.6412	 7.7003	 328	 337	 346	 0.0336	 0.0415	 0.0514	 0.0627	 0.0724	 0.0824	 0.0665	 0.0697	 0.0730	0	NAME Cep Cloud                     	319.5841	+74.6682
      32	Cepheus          	104.0	+09.4	 0.6708	 0.6732	 0.6759	 0.2368	 0.2380	 0.2393	10.0779	10.0968	10.1461	1036	1045	1069	 0.0242	 0.0280	 0.0326	 0.1028	 0.1077	 0.1128	 0.0552	 0.0566	 0.0582	0	NAME Cep Cloud                     	324.0546	+64.8251
      33	Cepheus          	111.5	+12.2	 0.7007	 0.7034	 0.7060	 0.2647	 0.2662	 0.2675	 9.8689	 9.9071	 9.9328	 941	 958	 969	 0.0155	 0.0187	 0.0223	 0.1071	 0.1144	 0.1215	 0.0415	 0.0429	 0.0446	0	NAME Cep Cloud                     	334.9499	+71.6210
      34	Cepheus          	108.3	+17.6	 0.7555	 0.7626	 0.7696	 0.2511	 0.2545	 0.2577	 7.6532	 7.6986	 7.7665	 339	 346	 357	 0.0602	 0.0733	 0.0886	 0.0528	 0.0622	 0.0736	 0.0651	 0.0683	 0.0718	0	NAME Cep Cloud                     	315.0268	+73.4742
      35	Cepheus          	107.0	+06.0	 0.6247	 0.6261	 0.6276	 0.2992	 0.3002	 0.3012	 9.7610	 9.7737	 9.7906	 895	 901	 908	 0.0190	 0.0217	 0.0246	 0.1362	 0.1429	 0.1505	 0.0568	 0.0579	 0.0591	0	NAME Cep Cloud                     	334.3465	+63.9978
      36	Cepheus          	103.7	+11.4	 0.6154	 0.6182	 0.6210	 0.1621	 0.1632	 0.1643	 9.6696	 9.6902	 9.7010	 858	 867	 871	 0.0164	 0.0192	 0.0227	 0.0775	 0.0819	 0.0867	 0.0454	 0.0466	 0.0478	0	NAME Cep Cloud                     	320.1764	+66.0458
      37	Cepheus          	104.0	+14.5	 0.6246	 0.6295	 0.6345	 0.1515	 0.1538	 0.1556	 7.5786	 7.6692	 7.7781	 327	 341	 359	 0.0317	 0.0371	 0.0434	 0.0323	 0.0416	 0.0515	 0.0587	 0.0607	 0.0628	0	NAME Cep Cloud                     	314.6578	+68.3102
      38	Cepheus          	107.7	+05.9	 0.6396	 0.6412	 0.6428	 0.2814	 0.2825	 0.2835	 9.5810	 9.6494	 9.6877	 824	 850	 866	 0.0159	 0.0183	 0.0209	 0.1448	 0.1545	 0.1648	 0.0626	 0.0636	 0.0647	0	NAME Cep Cloud                     	335.8076	+64.2959
      39	Cepheus          	111.5	+20.8	 0.6632	 0.6709	 0.6778	 0.1273	 0.1311	 0.1333	 7.4700	 7.6039	 7.6732	 311	 331	 342	 0.0177	 0.0215	 0.0267	 0.0265	 0.0335	 0.0432	 0.0423	 0.0444	 0.0465	0	NAME Cep Cloud                     	311.6372	+77.7959
      40	Cepheus          	114.6	+16.5	 0.7519	 0.7580	 0.7646	 0.1395	 0.1413	 0.1430	 7.6694	 7.6983	 7.7214	 341	 346	 350	 0.0169	 0.0207	 0.0252	 0.0291	 0.0359	 0.0455	 0.0477	 0.0495	 0.0514	0	NAME Cep Cloud                     	335.1678	+76.8651
      41	Cepheus          	109.6	+16.9	 0.7460	 0.7521	 0.7583	 0.1941	 0.1966	 0.1989	 7.6487	 7.6888	 7.7230	 338	 344	 350	 0.0250	 0.0303	 0.0363	 0.0473	 0.0567	 0.0675	 0.0586	 0.0609	 0.0633	0	NAME Cep Cloud                     	319.7854	+73.9787
      42	Cepheus          	113.5	+15.9	 0.6754	 0.6811	 0.6869	 0.1378	 0.1396	 0.1414	 7.6095	 7.6326	 7.6534	 332	 336	 339	 0.0143	 0.0174	 0.0208	 0.0271	 0.0318	 0.0372	 0.0505	 0.0523	 0.0543	0	NAME Cep Cloud                     	333.0036	+75.7633
      43	Cepheus          	108.2	+05.5	 0.6680	 0.6700	 0.6721	 0.3106	 0.3120	 0.3133	 9.7309	 9.7504	 9.7755	 883	 891	 901	 0.0288	 0.0334	 0.0381	 0.1698	 0.1785	 0.1882	 0.0759	 0.0774	 0.0789	0	NAME Cep Cloud                     	337.2671	+64.2202
      44	Cepheus          	107.7	+12.4	 0.7204	 0.7234	 0.7263	 0.2149	 0.2161	 0.2173	 9.9066	 9.9156	 9.9298	 957	 961	 968	 0.0143	 0.0172	 0.0207	 0.0702	 0.0740	 0.0786	 0.0407	 0.0420	 0.0434	0	NAME Cep Cloud                     	325.7768	+69.4893
      45	Cepheus          	115.3	+17.6	 0.6093	 0.6150	 0.6210	 0.1571	 0.1597	 0.1622	 7.7386	 7.7719	 7.8100	 352	 358	 364	 0.0176	 0.0214	 0.0259	 0.0188	 0.0224	 0.0267	 0.0581	 0.0604	 0.0628	0	NAME Cep Cloud                     	334.8000	+78.1502
      46	Cepheus          	112.8	+20.8	 0.5779	 0.5871	 0.5967	 0.0965	 0.0991	 0.1016	 7.7963	 7.8740	 7.9339	 362	 375	 386	 0.0179	 0.0220	 0.0267	 0.0235	 0.0287	 0.0347	 0.0667	 0.0692	 0.0718	0	NAME Cep Cloud                     	315.0638	+78.7932
      47	Cepheus          	111.8	+20.3	 0.4862	 0.4960	 0.5055	 0.1801	 0.1867	 0.1926	 7.7789	 7.8110	 7.8466	 359	 364	 370	 0.0360	 0.0463	 0.0590	 0.0353	 0.0440	 0.0529	 0.1026	 0.1093	 0.1167	0	NAME Cep Cloud                     	314.3326	+77.7422
      48	Cepheus          	106.4	+17.7	 0.7142	 0.7197	 0.7252	 0.1814	 0.1838	 0.1858	 7.8561	 7.8826	 7.9108	 372	 377	 382	 0.0142	 0.0176	 0.0215	 0.0298	 0.0377	 0.0485	 0.0511	 0.0530	 0.0551	0	NAME Cep Cloud                     	311.1421	+72.0717
      49	Cepheus          	109.0	+07.7	 0.6632	 0.6650	 0.6668	 0.2470	 0.2479	 0.2489	 9.5208	 9.5599	 9.6235	 801	 816	 840	 0.0114	 0.0136	 0.0160	 0.1530	 0.1633	 0.1738	 0.0471	 0.0482	 0.0492	0	NAME Cep Cloud                     	336.0933	+66.5077
      50	Cepheus          	112.8	+16.5	 0.6167	 0.6233	 0.6297	 0.1737	 0.1769	 0.1797	 7.6264	 7.6856	 7.7288	 335	 344	 351	 0.0352	 0.0433	 0.0526	 0.0243	 0.0306	 0.0394	 0.0733	 0.0769	 0.0807	0	NAME Cep Cloud                     	329.3395	+75.8214
      51	Cepheus          	103.5	+13.5	 0.6545	 0.6587	 0.6628	 0.2052	 0.2071	 0.2091	 7.7533	 7.7792	 7.8083	 355	 359	 364	 0.0215	 0.0258	 0.0313	 0.0240	 0.0282	 0.0332	 0.0649	 0.0671	 0.0691	0	NAME Cep Cloud                     	315.8950	+67.3017
      52	Cepheus          	107.0	+09.4	 0.6215	 0.6239	 0.6263	 0.1598	 0.1607	 0.1616	 9.9509	 9.9696	 9.9913	 977	 986	 995	 0.0128	 0.0151	 0.0174	 0.0773	 0.0813	 0.0857	 0.0465	 0.0476	 0.0486	0	NAME Cep Cloud                     	329.5443	+66.7491
      53	Cepheus          	110.7	+12.6	 0.7353	 0.7383	 0.7413	 0.2313	 0.2325	 0.2338	 9.9263	 9.9765	 9.9857	 966	 989	 993	 0.0174	 0.0204	 0.0244	 0.1297	 0.1370	 0.1444	 0.0369	 0.0383	 0.0397	0	NAME Cep Cloud                     	332.2026	+71.4968
      54	Cepheus          	108.4	+18.6	 0.7243	 0.7302	 0.7354	 0.2002	 0.2029	 0.2051	 7.4939	 7.6070	 7.8011	 315	 332	 363	 0.0245	 0.0305	 0.0373	 0.0335	 0.0416	 0.0519	 0.0520	 0.0544	 0.0568	0	NAME Cep Cloud                     	312.3454	+74.1453
      55	Cepheus          	109.6	+06.8	 0.5748	 0.5771	 0.5793	 0.3920	 0.3945	 0.3968	 9.6856	 9.7261	 9.7610	 865	 881	 895	 0.0308	 0.0379	 0.0447	 0.1520	 0.1600	 0.1695	 0.0846	 0.0871	 0.0894	0	NAME Cep Cloud                     	338.5228	+66.0502
